episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
20,1563,25369.495708928735,28,21,0,100,60462.0,1.1011213253864027,0,0,0.1481631141192713,3.104690709499276,3.1585682055426476,0,0,0,0,92.4874566454524
21,1308,19673.07199833328,28,22,0,100,45484.0,1.5417940876656473,0,0,0.14441046551138292,3.4063880394155617,4.612640163098878,0,0,0,0,90.29476724430852
22,1284,19301.09074950808,28,22,0,100,44944.0,2.4446175147109726,0,0,0.5624783662166839,2.769124264451367,3.4397715472481822,0,0,0,0,90.78400830737279
23,1408,22161.72790714085,28,23,0,100,46878.0,0.7561831550802139,0,0,0.17964572192513373,2.0763703208556152,1.6753008021390372,0,0,0,0,95.3125
24,1309,19798.400055177663,28,17,0,100,59068.0,1.43156076659913,0,0,0.12953798120038532,1.9032118776364302,2.9760520809114155,0,0,0,0,93.55963729365264
25,1368,15988.522905197524,28,28,2,94,34718.0,2.0589668615984404,0,0,0.7675438596491226,2.3330896686159845,2.789961013645224,0,0,0,0,92.05043859649123
26,1329,20294.246683682155,28,21,0,100,48608.0,2.5107916518157696,0,0,0.19801195992237935,3.7503465209298645,4.443388380658192,0,0,0,0,89.09746148667378
27,1080,15087.758503035475,28,11,0,100,63322.0,2.0178799489144317,0,0,0.11174968071519793,2.3563218390804597,3.288633461047254,0,0,0,0,92.22541507024265
28,1115,15373.151088501341,28,15,0,100,55604.0,3.752466367713004,0,0,0.13273542600896862,4.100448430493274,4.943497757847535,0,0,0,0,87.07085201793721
29,1313,20078.642443197743,28,19,0,100,53544.0,1.6211511261016212,0,0,0.10880208900010879,2.905015776302905,4.37021724150437,0,0,0,0,90.99481376709099
30,1082,15559.750959688508,28,18,0,100,48063.17409071965,3.091917324819358,0,0,0.4831120820030247,3.117123172576037,4.331204839522767,0,0,0,0,88.97664258107882
31,1091,14685.066054407731,28,19,0,100,44162.0,3.0596656627820695,0,0,0.20514163502247829,3.6227139801841908,3.784208458818908,0,0,0,0,89.32827026319235
32,1017,13581.612482476387,28,12,0,100,57376.0,3.1886500913049582,0,0,0.13344570866694766,2.8269419862340226,3.1991852788312967,0,0,0,0,90.65177693496277
33,1442,23002.88023068062,28,20,0,100,59636.0,1.4667128987517333,0,0,0.06934812760055477,1.6088765603328705,2.0110957004160883,0,0,0,0,94.84396671289873
34,1479,23980.707380575557,28,20,1,97,57972.00000000001,2.3089925625422585,0,0,0.0777552400270453,2.008113590263692,3.2792427315753896,0,0,0,0,92.32589587559163
35,1224,17871.382270994516,28,16,0,100,59365.38448492001,2.6586328976034856,0,0,0.1804193899782135,2.8288398692810452,3.850081699346405,0,0,0,0,90.48202614379082
